prompt_id,evaluator_id,layer_index,mean_distance_to_self_answer,min_distance_to_self_answer,max_distance_to_self_answer,distance_to_self_spread,mean_distance_to_centroid,allocation_spread,negative_mass_sum,positive_mass_sum
p021,Qwen/Qwen2.5-7B-Instruct::normal_04,16,14.919071197509766,13.951173782348633,16.446548461914062,2.4953746795654297,9.264578819274902,0.65,0.30000000000000004,0.7
p022,Qwen/Qwen2.5-7B-Instruct::normal_01,16,15.688579559326172,11.967937469482422,20.082307815551758,8.114370346069336,9.084806442260742,0.6,0.15,0.85
p022,Qwen/Qwen2.5-7B-Instruct::normal_02,16,13.735238075256348,11.305594444274902,17.08594512939453,5.780350685119629,8.022005081176758,0.35,0.0,1.0
p022,Qwen/Qwen2.5-7B-Instruct::normal_03,16,15.266823768615723,12.953836441040039,19.317947387695312,6.364110946655273,8.73755168914795,0.35,0.0,0.9999999999999999
p022,Qwen/Qwen2.5-7B-Instruct::normal_04,16,14.654358863830566,10.991957664489746,18.770910263061523,7.778952598571777,8.943525314331055,0.65,0.2,0.7999999999999999
p023,Qwen/Qwen2.5-7B-Instruct::normal_01,16,14.216350555419922,12.60286808013916,15.957056045532227,3.3541879653930664,8.500383377075195,0.75,0.5,0.5
p023,Qwen/Qwen2.5-7B-Instruct::normal_02,16,14.46177864074707,11.833952903747559,16.8260498046875,4.992096900939941,8.337251663208008,0.55,0.1,0.8999999999999999
p023,Qwen/Qwen2.5-7B-Instruct::normal_03,16,13.286064147949219,9.93049144744873,14.983749389648438,5.053257942199707,8.099626541137695,0.7,0.4,0.6
p023,Qwen/Qwen2.5-7B-Instruct::normal_04,16,13.902650833129883,11.324918746948242,15.887351036071777,4.562432289123535,8.337251663208008,0.6,0.3,0.7
p024,Qwen/Qwen2.5-7B-Instruct::normal_01,16,17.16895294189453,13.293951034545898,23.530118942260742,10.236167907714844,10.906535148620605,0.5,0.05,0.95
p024,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.796634674072266,13.502762794494629,22.352718353271484,8.849955558776855,11.598287582397461,0.19999999999999998,0.0,1.0
p024,Qwen/Qwen2.5-7B-Instruct::normal_03,16,17.421775817871094,13.727198600769043,24.618011474609375,10.890812873840332,11.2869234085083,0.6000000000000001,0.30000000000000004,0.7
p024,Qwen/Qwen2.5-7B-Instruct::normal_04,16,17.175731658935547,13.036441802978516,23.59113883972168,10.554697036743164,10.696867942810059,0.5,0.05,0.95
